epoch,train_accuracy,train_auroc,train_f1score,train_auprc,train_loss,train_duration,val_accuracy,val_auroc,val_f1score,val_auprc,val_loss,val_duration
1,0.2751347136881245,0.20686582623182287,0.2593055849646703,,2.4457453167722694,612.9987466910006,0.40915928217605574,0.24855928311844488,0.39206790096212973,,1.8185701643056538,137.43874381299975
2,0.47151227463667783,0.26923782939405677,0.45975687358430967,,1.4781718844900766,607.5890810250003,0.4705587050214929,0.2641191209832303,0.4528765417398499,,1.5221328616735355,133.4637077360003
3,0.5720171116974901,0.28934631014860784,0.5614048045907459,,1.1028397393271496,581.3528327299991,0.508880944097813,0.27157161213949776,0.4921071624013167,,1.4767314963672884,127.45495641900015
4,0.6304452604376986,0.29742321121839094,0.622540161791418,,0.8904161669753277,615.4355449260001,0.49973162756630435,0.2688966369047512,0.483962387263857,,1.8546392535095784,131.94043183699978
5,0.27974288239537587,0.2081876464665463,0.2626595158091281,,2.431914720062629,634.0248466409994,0.3977075873767559,0.2480184699483603,0.38060645355948053,,1.7871288588984096,135.39487120500053
